Trial,State,Q(left),Q(right),Q(forward)
1,0,0,0,0
1,1,0,0,0
1,2,0,0,0
1,3,0,0,0
1,4,0,0,0
1,5,0,0,0
1,6,0,0,0
2,0,0,0,0
2,1,0,0,0
2,2,0,0,0
2,3,0,0,0
2,4,0,0,0
2,5,0,0,0
2,6,0,0,0
3,0,0,0,0
3,1,0,0,0
3,2,0,0,0
3,3,0,0,0
3,4,0,0,0
3,5,0,0,0
3,6,0,0,0
4,0,0,0,0
4,1,0,0,0
4,2,0,0,0
4,3,0,0,0
4,4,0,0,0
4,5,0,0,0
4,6,0,0,0
5,0,0,0,0
5,1,0,0,0
5,2,0,0,0
5,3,0,0,0
5,4,0,0,0
5,5,0,0,0
5,6,0,0,0
6,0,0,0,5
6,1,0,0,0
6,2,0,0,0
6,3,0,0,0
6,4,0,0,0
6,5,0,0,0
6,6,0,0,0
7,0,0,0,5
7,1,0,0,0
7,2,0,0,0
7,3,0,0,0
7,4,0,0,0
7,5,0,-5,0
7,6,0,0,0
8,0,0,0,5
8,1,0,0,0
8,2,0,0,0
8,3,0,-5,0
8,4,0,0,0
8,5,0,-5,0
8,6,0,0,0
9,0,0,0,5
9,1,0,0,0
9,2,0,0,0
9,3,0,-5,0
9,4,0,0,0
9,5,0,-5,0
9,6,0,0,-5
10,0,0,0,5
10,1,0,0,0
10,2,0,0,0
10,3,0,-5,5
10,4,0,0,0
10,5,0,-5,0
10,6,0,0,-5
11,0,0,0,5
11,1,0,0,0
11,2,0,0,10
11,3,0,-5,5
11,4,0,0,0
11,5,0,-5,0
11,6,0,0,-5
12,0,0,0,5
12,1,0,0,2.47
12,2,0,0,10
12,3,0,-5,5
12,4,0,0,0
12,5,0,-5,0
12,6,0,0,-5
13,0,0,0,7.5
13,1,0,0,2.47
13,2,0,0,10
13,3,0,-5,5
13,4,0,0,0
13,5,0,-5,0
13,6,0,0,-5
14,0,0,0,7.5
14,1,0,0,2.47
14,2,0,0,10
14,3,0,-5,5
14,4,0,0,0
14,5,0,-5,5
14,6,0,0,-5
15,0,0,0,7.5
15,1,0,0,2.47
15,2,0,0,10
15,3,0,-5,5
15,4,0,0,0
15,5,0,-5,9.98
15,6,0,0,-5
16,0,0,0,7.5
16,1,0,0,2.47
16,2,0,0,10
16,3,0,-5,5
16,4,0,0,0
16,5,0,-5,14.99
16,6,0,0,-5
17,0,0,0,7.5
17,1,0,0,2.47
17,2,0,0,10
17,3,0,-5,5
17,4,0,3.71,0
17,5,0,-5,14.99
17,6,0,0,-5
18,0,0,0,7.46
18,1,0,0,2.47
18,2,0,0,10
18,3,0,-5,5
18,4,0,3.71,0
18,5,0,-5,14.99
18,6,0,0,-5
19,0,0,0,1.21
19,1,0,0,2.47
19,2,0,0,10
19,3,0,-5,5
19,4,0,3.71,0
19,5,0,-5,14.99
19,6,0,0,-5
20,0,0,0,1.21
20,1,0,0,2.47
20,2,0,0,10
20,3,0,-5,-0.03
20,4,0,3.71,0
20,5,0,-5,14.99
20,6,0,0,-5
21,0,0,0,1.21
21,1,0,0,2.47
21,2,0,0,10
21,3,0,-5,-5.01
21,4,0,3.71,0
21,5,0,-5,14.99
21,6,0,0,-5
22,0,0,0,1.21
22,1,0,0,2.47
22,2,0,0,10
22,3,0,-5,7.44
22,4,0,3.71,0
22,5,0,-5,14.99
22,6,0,0,-5
23,0,0,0,1.21
23,1,0,0,2.47
23,2,0,0,16.23
23,3,0,-5,7.44
23,4,0,3.71,0
23,5,0,-5,14.99
23,6,0,0,-5
24,0,0,0,1.21
24,1,0.6,0,2.47
24,2,0,0,16.23
24,3,0,-5,7.44
24,4,0,3.71,0
24,5,0,-5,14.99
